id_a,id_b,friendship,proximity,sms,calls
8,17,not_friend,not_close,not_texted,not_called
60,67,friend,close,not_texted,called
78,79,friend,not_close,not_texted,not_called
14,35,not_friend,close,not_texted,not_called
11,31,friend,close,not_texted,called
23,31,not_friend,close,not_texted,called
51,81,not_friend,not_close,not_texted,not_called
8,77,not_friend,not_close,not_texted,not_called
40,72,friend,not_close,not_texted,not_called
19,63,not_friend,not_close,not_texted,not_called
46,62,friend,close,not_texted,not_called
21,25,friend,not_close,not_texted,not_called
8,57,not_friend,close,not_texted,not_called
42,61,not_friend,close,not_texted,not_called
10,43,not_friend,not_close,not_texted,not_called
7,20,not_friend,close,not_texted,not_called
14,59,friend,close,not_texted,not_called
39,49,not_friend,not_close,not_texted,not_called
25,78,not_friend,not_close,not_texted,not_called
18,46,friend,close,not_texted,not_called
28,67,friend,not_close,not_texted,not_called
23,48,friend,close,not_texted,not_called
1,63,not_friend,not_close,not_texted,not_called
34,43,not_friend,close,not_texted,called
49,77,friend,not_close,not_texted,not_called
55,75,not_friend,close,not_texted,not_called
16,70,friend,close,not_texted,not_called
18,66,friend,close,not_texted,not_called
47,67,friend,close,not_texted,called
9,34,not_friend,not_close,not_texted,not_called
9,61,not_friend,not_close,not_texted,not_called
7,66,not_friend,not_close,not_texted,not_called
9,50,friend,not_close,not_texted,called
16,36,not_friend,close,not_texted,not_called
41,45,not_friend,not_close,not_texted,not_called
27,32,not_friend,close,not_texted,not_called
39,75,not_friend,not_close,not_texted,not_called
13,66,not_friend,not_close,not_texted,not_called
7,46,not_friend,close,not_texted,not_called
38,81,not_friend,not_close,not_texted,not_called
24,52,friend,not_close,not_texted,called
20,45,not_friend,not_close,not_texted,not_called
10,54,not_friend,not_close,not_texted,not_called
21,81,not_friend,not_close,not_texted,not_called
36,37,not_friend,not_close,not_texted,not_called
55,68,not_friend,close,not_texted,not_called
71,76,friend,not_close,not_texted,not_called
2,21,not_friend,close,not_texted,not_called
48,75,not_friend,not_close,not_texted,not_called
